main(50, .9, .4)
1: Viorest: 0.021234, aptitud: 1000.00000000000000000000, vector: 0.34145790309866175000 0.28191208922026589000 0.32022431353753678000 0.3199177745172533900026.45543776395659200000 , tt: 1.4234
2: Viorest: 0.00093627, aptitud: 1000.00000000000000000000, vector: 0.340412946367849970000.255576749298136780000.480587171840211050000.394814704691483660004.43492561102960180000 , tt: 2.2907
3: Viorest: 0.00036276, aptitud: 1000.00000000000000000000, vector: 0.16005753220456570000 0.10816007066934198000 0.40015546928816226000 0.3478952498574822100026.08262278964871700000 , tt: 3.166
4: Viorest: 0.00036276, aptitud: 1000.00000000000000000000, vector: 0.16005753220456570000 0.10816007066934198000 0.40015546928816226000 0.3478952498574822100026.08262278964871700000 , tt: 4.16
5: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 5.1104
6: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 5.9431
7: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 6.9782
8: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 7.8726
9: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 8.8806
10: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 9.9513
11: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 10.9165
12: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 12.1808
13: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 13.3174
14: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 14.4136
15: Viorest: 0.00026983, aptitud: 1000.00000000000000000000, vector: 0.46672054560081622000 0.19587288697133454000 0.48796937754280367000 0.2168518859529158800040.67910215074722700000 , tt: 15.7332
16: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 16.6715
17: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 17.6891
18: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 18.8705
19: Viorest: 0.00017623, aptitud: 1000.00000000000000000000, vector: 0.38037393290377575000 0.27798883390105172000 0.42199940377095002000 0.4221756355383956000042.20741913532782500000 , tt: 20.0982
