get(0, 'diaryfile')

ans =

corrida14.txt

main(50, 0.9, 0.4)
1: Viorest: 0.0048492, aptitud: 1000.00000000000000000000, vector: 0.32782848442517426000 0.32799243162867275000 0.46413084076640088000 0.4689800528698751000044.58778290907765300000
2: Viorest: 0.00063536, aptitud: 1000.00000000000000000000, vector: 0.20330496020210095000 0.13707760482024589000 0.28253506459712713000 0.2831704201137608700028.89824666685690200000
3: Viorest: 0.00063536, aptitud: 1000.00000000000000000000, vector: 0.20330496020210095000 0.13707760482024589000 0.28253506459712713000 0.2831704201137608700028.89824666685690200000
4: Viorest: 0.00063536, aptitud: 1000.00000000000000000000, vector: 0.20330496020210095000 0.13707760482024589000 0.28253506459712713000 0.2831704201137608700028.89824666685690200000
5: Viorest: 0.00063536, aptitud: 1000.00000000000000000000, vector: 0.20330496020210095000 0.13707760482024589000 0.28253506459712713000 0.2831704201137608700028.89824666685690200000
6: Viorest: 0.00063536, aptitud: 1000.00000000000000000000, vector: 0.20330496020210095000 0.13707760482024589000 0.28253506459712713000 0.2831704201137608700028.89824666685690200000
7: Viorest: 0.00063536, aptitud: 1000.00000000000000000000, vector: 0.20330496020210095000 0.13707760482024589000 0.28253506459712713000 0.2831704201137608700028.89824666685690200000
8: Viorest: 0.00034369, aptitud: 1000.00000000000000000000, vector: 0.49827184717733719000 0.30062587808879898000 0.49792816064076506000 0.4372258879072773400028.50893615793836800000
9: Viorest: 0.00034369, aptitud: 1000.00000000000000000000, vector: 0.49827184717733719000 0.30062587808879898000 0.49792816064076506000 0.4372258879072773400028.50893615793836800000
10: Viorest: 0.00034369, aptitud: 1000.00000000000000000000, vector: 0.49827184717733719000 0.30062587808879898000 0.49792816064076506000 0.4372258879072773400028.50893615793836800000
11: Viorest: 5.8234e-05, aptitud: 1000.00000000000000000000, vector: 0.47193532950859424000 0.18296405061665311000 0.47187709561944002000 0.3071915821253169400031.44190658338178000000
12: Viorest: 5.8234e-05, aptitud: 1000.00000000000000000000, vector: 0.47193532950859424000 0.18296405061665311000 0.47187709561944002000 0.3071915821253169400031.44190658338178000000
13: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
14: Viorest: 3.6763e-06, aptitud: 1000.00000000000000000000, vector: 0.217586345807187050000.119373698688172490000.255687652826972920000.157471329454659050008.25644398079388960000
