main(50, 0.9, 0.4)
1: Viorest: 0.016153, aptitud: 1000.00000000000000000000, vector: 0.20109381430775206000 0.19667083403792909000 0.39409330330109682000 0.4102467440663037900042.00767625393544300000
2: Viorest: 0.016153, aptitud: 1000.00000000000000000000, vector: 0.20109381430775206000 0.19667083403792909000 0.39409330330109682000 0.4102467440663037900042.00767625393544300000
3: Viorest: 0.00069617, aptitud: 1000.00000000000000000000, vector: 0.37997313663316507000 0.24170877083586170000 0.41391332543356152000 0.4146094963331250500023.87437356364318200000
4: Viorest: 0.00069617, aptitud: 1000.00000000000000000000, vector: 0.37997313663316507000 0.24170877083586170000 0.41391332543356152000 0.4146094963331250500023.87437356364318200000
5: Viorest: 0.00069617, aptitud: 1000.00000000000000000000, vector: 0.37997313663316507000 0.24170877083586170000 0.41391332543356152000 0.4146094963331250500023.87437356364318200000
6: Viorest: 0.00065891, aptitud: 1000.00000000000000000000, vector: 0.19100292357056253000 0.07503239930633560900 0.21794191266570631000 0.2186008254241055300037.59656491056264800000
7: Viorest: 0.00065891, aptitud: 1000.00000000000000000000, vector: 0.19100292357056253000 0.07503239930633560900 0.21794191266570631000 0.2186008254241055300037.59656491056264800000
8: Viorest: 0.00065891, aptitud: 1000.00000000000000000000, vector: 0.19100292357056253000 0.07503239930633560900 0.21794191266570631000 0.2186008254241055300037.59656491056264800000
9: Viorest: 0.00065891, aptitud: 1000.00000000000000000000, vector: 0.19100292357056253000 0.07503239930633560900 0.21794191266570631000 0.2186008254241055300037.59656491056264800000
10: Viorest: 0.00065891, aptitud: 1000.00000000000000000000, vector: 0.19100292357056253000 0.07503239930633560900 0.21794191266570631000 0.2186008254241055300037.59656491056264800000
11: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
12: Viorest: 0.00011872, aptitud: 1000.00000000000000000000, vector: 0.49525062905798378000 0.26788327829892683000 0.49513191226743525000 0.4505098911523360800014.18834063720564100000
