main(50, 0.9, 0.4)
1: Viorest: 0.0027144, aptitud: 1000.00000000000000000000, vector: 0.28111146664022330000  0.23140287406226354000  0.28964698967833991000  0.29236139534875816000-32.13316288584567100000 , tt: 0.582
2: Viorest: 0.0027144, aptitud: 1000.00000000000000000000, vector: 0.28111146664022330000  0.23140287406226354000  0.28964698967833991000  0.29236139534875816000-32.13316288584567100000 , tt: 1.3085
3: Viorest: 0.0027144, aptitud: 1000.00000000000000000000, vector: 0.28111146664022330000  0.23140287406226354000  0.28964698967833991000  0.29236139534875816000-32.13316288584567100000 , tt: 2.0121
4: Viorest: 0.0027144, aptitud: 1000.00000000000000000000, vector: 0.28111146664022330000  0.23140287406226354000  0.28964698967833991000  0.29236139534875816000-32.13316288584567100000 , tt: 2.64
5: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 3.3812
6: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 4.0772
7: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 4.8849
8: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 5.5381
9: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 6.1635
10: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 6.8362
11: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 7.6575
12: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 8.3795
13: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 9.0395
14: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 9.6744
15: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 10.4364
16: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 11.0702
17: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 11.925
18: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 12.5947
19: Viorest: 0.00034468, aptitud: 1000.00000000000000000000, vector: 0.13365687631638051000  0.08343931899483231200  0.35673329381738944000  0.30617105622845070000-32.31775194770499100000 , tt: 13.4421
20: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 14.0779
21: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 14.815
22: Viorest: 4.3505e-05, aptitud: 1000.00000000000000000000, vector: 0.32828120461495219000  0.27014179733222032000  0.44841520455137607000  0.44845870915317421000-32.55024699818357400000 , tt: 15.6759
