main(40, .6, .5)
1: Viorest: 0.0018231, aptitud: 1000.00000000000000000000, vector: 0.42706083836538994000 0.08208757842323885500 0.48662014915111440000 0.1398237541345961600040.26778352070578400000 , tt: 1.2122
2: Viorest: 0.0018231, aptitud: 1000.00000000000000000000, vector: 0.42706083836538994000 0.08208757842323885500 0.48662014915111440000 0.1398237541345961600040.26778352070578400000 , tt: 1.8363
3: Viorest: 0.0015546, aptitud: 1000.00000000000000000000, vector: 0.119402064093727970000.051258047575600721000.428072053584200030000.358373413391483650009.31062115602960280000 , tt: 2.5836
4: Viorest: 0.0015546, aptitud: 1000.00000000000000000000, vector: 0.119402064093727970000.051258047575600721000.428072053584200030000.358373413391483650009.31062115602960280000 , tt: 3.3268
5: Viorest: 0.0015546, aptitud: 1000.00000000000000000000, vector: 0.119402064093727970000.051258047575600721000.428072053584200030000.358373413391483650009.31062115602960280000 , tt: 4.1137
6: Viorest: 0.0015546, aptitud: 1000.00000000000000000000, vector: 0.119402064093727970000.051258047575600721000.428072053584200030000.358373413391483650009.31062115602960280000 , tt: 4.9557
7: Viorest: 0.0015546, aptitud: 1000.00000000000000000000, vector: 0.119402064093727970000.051258047575600721000.428072053584200030000.358373413391483650009.31062115602960280000 , tt: 5.7321
8: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 6.5744
9: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 7.3397
10: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 8.2241
11: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 9.0597
12: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 9.9735
13: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 10.7426
14: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 11.422
15: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 12.1066
16: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 12.9267
17: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 13.8643
18: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 14.6375
19: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 15.3874
20: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 16.2814
21: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 17.1131
22: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 17.8271
23: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 18.611
24: Viorest: 2.8501e-05, aptitud: 1000.00000000000000000000, vector: 0.421423776045027180000.066185760243928637000.421395275186106420000.249699713383962100006.27753174386598540000 , tt: 19.5162
