main(50, .9, .4)
1: Viorest: 0.0065301, aptitud: 1000.00000000000000000000, vector: 0.42451730673038646000  0.07793001756391873500  0.41798721527348959000  0.09147668988478481500-16.33635397177876300000 , tt: 2.237
2: Viorest: 0.0065301, aptitud: 1000.00000000000000000000, vector: 0.42451730673038646000  0.07793001756391873500  0.41798721527348959000  0.09147668988478481500-16.33635397177876300000 , tt: 3.7621
3: Viorest: 0.0010771, aptitud: 1000.00000000000000000000, vector: 0.372463946562259400000.222082372585836820000.371386854821203980000.227459790948339070002.22756991056291210000 , tt: 5.3108
4: Viorest: 0.0010771, aptitud: 1000.00000000000000000000, vector: 0.372463946562259400000.222082372585836820000.371386854821203980000.227459790948339070002.22756991056291210000 , tt: 6.6958
5: Viorest: 0.00038118, aptitud: 1000.00000000000000000000, vector: 0.42462655292590978000  0.09914944078417212100  0.42761452293264979000  0.10175622760043275000-20.61013124390287700000 , tt: 8.1785
6: Viorest: 0.00038118, aptitud: 1000.00000000000000000000, vector: 0.42462655292590978000  0.09914944078417212100  0.42761452293264979000  0.10175622760043275000-20.61013124390287700000 , tt: 9.4953
7: Viorest: 0.00038118, aptitud: 1000.00000000000000000000, vector: 0.42462655292590978000  0.09914944078417212100  0.42761452293264979000  0.10175622760043275000-20.61013124390287700000 , tt: 11.0661
8: Viorest: 0.00038118, aptitud: 1000.00000000000000000000, vector: 0.42462655292590978000  0.09914944078417212100  0.42761452293264979000  0.10175622760043275000-20.61013124390287700000 , tt: 13.2593
9: Viorest: 0.00021734, aptitud: 1000.00000000000000000000, vector: 0.27128204299203462000 0.26059935566103115000 0.40685248128174956000 0.4070698224049822400035.90587729138025000000 , tt: 14.8662
10: Viorest: 0.00021734, aptitud: 1000.00000000000000000000, vector: 0.27128204299203462000 0.26059935566103115000 0.40685248128174956000 0.4070698224049822400035.90587729138025000000 , tt: 16.5139
11: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 18.351
12: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 19.7526
13: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 21.4193
14: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 23.1541
15: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 24.872
16: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 26.9234
17: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 28.9285
18: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 31.3104
19: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 32.9081
20: Viorest: 2.1467e-05, aptitud: 1000.00000000000000000000, vector: 0.398840004146204240000.378885573375831900000.487137287131722330000.467161389420985060009.73627416977283030000 , tt: 35.0845
21: Viorest: 2.9358e-07, aptitud: 1000.00000000000000000000, vector: 0.31649381101173446000 0.22743584928087587000 0.39935846525856356000 0.3103002099493730200043.02647758094475700000 , tt: 37.0179
22: Viorest: 2.9358e-07, aptitud: 1000.00000000000000000000, vector: 0.31649381101173446000 0.22743584928087587000 0.39935846525856356000 0.3103002099493730200043.02647758094475700000 , tt: 39.2941
23: Viorest: 2.9358e-07, aptitud: 1000.00000000000000000000, vector: 0.31649381101173446000 0.22743584928087587000 0.39935846525856356000 0.3103002099493730200043.02647758094475700000 , tt: 41.16
24: Viorest: 2.9358e-07, aptitud: 1000.00000000000000000000, vector: 0.31649381101173446000 0.22743584928087587000 0.39935846525856356000 0.3103002099493730200043.02647758094475700000 , tt: 43.0603
25: Viorest: 2.9358e-07, aptitud: 1000.00000000000000000000, vector: 0.31649381101173446000 0.22743584928087587000 0.39935846525856356000 0.3103002099493730200043.02647758094475700000 , tt: 44.7563
26: Viorest: 2.9358e-07, aptitud: 1000.00000000000000000000, vector: 0.31649381101173446000 0.22743584928087587000 0.39935846525856356000 0.3103002099493730200043.02647758094475700000 , tt: 46.4504
27: Viorest: 2.9358e-07, aptitud: 1000.00000000000000000000, vector: 0.31649381101173446000 0.22743584928087587000 0.39935846525856356000 0.3103002099493730200043.02647758094475700000 , tt: 48.3052
