Corrida con 
individuos : 40
cr : 0.9
f = 0.3
1: Viorest: 0.0019493, aptitud: 1000, vector: 0.480831    0.0517471     0.478882     0.359539     -43.6813
2: Viorest: 0.0019493, aptitud: 1000, vector: 0.480831    0.0517471     0.478882     0.359539     -43.6813
3: Viorest: 0.0012814, aptitud: 1000, vector: 0.43265     0.11324     0.43137     0.32941      4.4651
4: Viorest: 0.0012814, aptitud: 1000, vector: 0.43265     0.11324     0.43137     0.32941      4.4651
5: Viorest: 0.0012814, aptitud: 1000, vector: 0.43265     0.11324     0.43137     0.32941      4.4651
6: Viorest: 0.001242, aptitud: 1000, vector: 0.398756    0.0703637     0.397514     0.297132     -41.2261
7: Viorest: 0.0004634, aptitud: 1000, vector: 0.455196      0.22425     0.483534     0.483998      11.4055
8: Viorest: 0.0004634, aptitud: 1000, vector: 0.455196      0.22425     0.483534     0.483998      11.4055
9: Viorest: 0.0004634, aptitud: 1000, vector: 0.455196      0.22425     0.483534     0.483998      11.4055
10: Viorest: 0.00013073, aptitud: 1000, vector: 0.421738    0.0559706     0.421608     0.314669     -26.9794
11: Viorest: 0.00013073, aptitud: 1000, vector: 0.421738    0.0559706     0.421608     0.314669     -26.9794
12: Viorest: 2.4469e-05, aptitud: 1000, vector: 0.414011    0.0539255     0.413986     0.252819     -44.3966
13: Viorest: 2.4469e-05, aptitud: 1000, vector: 0.414011    0.0539255     0.413986     0.252819     -44.3966
14: Viorest: 3.4184e-06, aptitud: 1000, vector: 0.448435     0.134507     0.448431     0.283735     -18.4782
15: Viorest: 3.4184e-06, aptitud: 1000, vector: 0.448435     0.134507     0.448431     0.283735     -18.4782
16: Viorest: 3.4184e-06, aptitud: 1000, vector: 0.448435     0.134507     0.448431     0.283735     -18.4782
17: Viorest: 3.0186e-06, aptitud: 1000, vector: 0.464005    0.0790084     0.464002     0.304715     -20.7208
18: Viorest: 3.0186e-06, aptitud: 1000, vector: 0.464005    0.0790084     0.464002     0.304715     -20.7208
19: Viorest: 5.69e-07, aptitud: 1000, vector: 0.44793     0.10265     0.44793     0.23947      5.0786
20: Viorest: 5.69e-07, aptitud: 1000, vector: 0.44793     0.10265     0.44793     0.23947      5.0786
21: Viorest: 5.69e-07, aptitud: 1000, vector: 0.44793     0.10265     0.44793     0.23947      5.0786
22: Viorest: 5.69e-07, aptitud: 1000, vector: 0.44793     0.10265     0.44793     0.23947      5.0786
23: Viorest: 3.3217e-07, aptitud: 1000, vector: 0.468773    0.0581809     0.468772     0.278369     -41.3971
24: Viorest: 3.3217e-07, aptitud: 1000, vector: 0.468773    0.0581809     0.468772     0.278369     -41.3971
25: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
26: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
27: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
28: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
29: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
30: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
31: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
32: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
33: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
34: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
35: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
36: Viorest: 3.5468e-10, aptitud: 1000, vector: 0.44563     0.15734     0.44563     0.27122      6.2123
37: Viorest: 2.887e-10, aptitud: 1000, vector: 0.49302    0.0627376      0.49302     0.299701     -13.6361
38: Viorest: 2.887e-10, aptitud: 1000, vector: 0.49302    0.0627376      0.49302     0.299701     -13.6361
39: Viorest: 2.887e-10, aptitud: 1000, vector: 0.49302    0.0627376      0.49302     0.299701     -13.6361
40: Viorest: 1.391e-10, aptitud: 1000, vector: 0.43452     0.10652     0.43452     0.22107     0.45122
41: Viorest: 8.7843e-11, aptitud: 1000, vector: 0.446078    0.0970734     0.446078     0.317349      15.5361
42: Viorest: 5.0362e-11, aptitud: 1000, vector: 0.496954    0.0514911     0.496954     0.447665      -13.401
43: Viorest: 5.0362e-11, aptitud: 1000, vector: 0.496954    0.0514911     0.496954     0.447665      -13.401
44: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
45: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
46: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
47: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
48: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
49: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
50: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
51: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
52: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
53: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
54: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
55: Viorest: 4.6587e-12, aptitud: 1000, vector: 0.45436    0.095514     0.45436     0.28253       1.285
56: Viorest: 5.1015e-13, aptitud: 1000, vector: 0.47766    0.071761     0.47766     0.39032     -3.2754
57: Viorest: 2.9754e-14, aptitud: 1000, vector: 0.47613    0.090237     0.47613     0.42634     -0.1129
58: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
59: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
60: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
61: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
62: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
63: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
64: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
65: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
66: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
67: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
68: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
69: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
70: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
71: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
72: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
73: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
74: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
75: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
76: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
77: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
78: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
79: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
80: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
81: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
82: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
83: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
84: Viorest: 0, aptitud: 0.5576, vector: 0.43401    0.096784     0.45764      0.2824     -0.2211
