main( 50, .9, .4)
1: Viorest: 0.0041203, aptitud: 1000.00000000000000000000, vector: 0.48543850058564958000  0.21532049405031245000  0.48131818514542346000  0.36785317095675812000-20.88725489118881000000
2: Viorest: 0.0013549, aptitud: 1000.00000000000000000000, vector: 0.33502795689538611000  0.19323493665735436000  0.46088429280533433000  0.31773635840347747000-12.66988226980136100000
3: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
4: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
5: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
6: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
7: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
8: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
9: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
10: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
11: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
12: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
13: Viorest: 0.00011737, aptitud: 1000.00000000000000000000, vector: 0.47520042246908739000  0.29159831867698849000  0.47508305068770623000  0.45156790612711606000-18.55778464705951700000
14: Viorest: 8.6325e-05, aptitud: 1000.00000000000000000000, vector: 0.37376302902979353000 0.13615975288697083000 0.37367670441766360000 0.2656882338085402300010.89723049588718200000
15: Viorest: 8.6325e-05, aptitud: 1000.00000000000000000000, vector: 0.37376302902979353000 0.13615975288697083000 0.37367670441766360000 0.2656882338085402300010.89723049588718200000
16: Viorest: 8.6325e-05, aptitud: 1000.00000000000000000000, vector: 0.37376302902979353000 0.13615975288697083000 0.37367670441766360000 0.2656882338085402300010.89723049588718200000
17: Viorest: 8.6325e-05, aptitud: 1000.00000000000000000000, vector: 0.37376302902979353000 0.13615975288697083000 0.37367670441766360000 0.2656882338085402300010.89723049588718200000
18: Viorest: 8.6325e-05, aptitud: 1000.00000000000000000000, vector: 0.37376302902979353000 0.13615975288697083000 0.37367670441766360000 0.2656882338085402300010.89723049588718200000
19: Viorest: 1.8846e-05, aptitud: 1000.00000000000000000000, vector: 0.49841583658289762000  0.32189698411214995000  0.49839699071765231000  0.47864354498118244000-15.76894565646583700000
