main(40, .6, .5)
1: Viorest: 0.017566, aptitud: 0.00000000000000000000, vector: 0.25768566444747104000  0.15252985275658260000  0.35738862021362150000  0.23466686044808954000-14.53392736062407700000 , tt: 1.0782
2: Viorest: 0.017566, aptitud: 0.00000000000000000000, vector: 0.25768566444747104000  0.15252985275658260000  0.35738862021362150000  0.23466686044808954000-14.53392736062407700000 , tt: 1.7495
3: Viorest: 0.0012333, aptitud: 0.00000000000000000000, vector: 0.33930643483686418000  0.20873568627128264000  0.33807313805924510000  0.24199254296534647000-35.78491888922535200000 , tt: 2.4261
4: Viorest: 0.0012333, aptitud: 0.00000000000000000000, vector: 0.33930643483686418000  0.20873568627128264000  0.33807313805924510000  0.24199254296534647000-35.78491888922535200000 , tt: 3.1619
5: Viorest: 0.0012333, aptitud: 0.00000000000000000000, vector: 0.33930643483686418000  0.20873568627128264000  0.33807313805924510000  0.24199254296534647000-35.78491888922535200000 , tt: 3.9491
6: Viorest: 0.0012333, aptitud: 0.00000000000000000000, vector: 0.33930643483686418000  0.20873568627128264000  0.33807313805924510000  0.24199254296534647000-35.78491888922535200000 , tt: 5.0718
7: Viorest: 0.0012333, aptitud: 0.00000000000000000000, vector: 0.33930643483686418000  0.20873568627128264000  0.33807313805924510000  0.24199254296534647000-35.78491888922535200000 , tt: 5.834
8: Viorest: 0.0012333, aptitud: 0.00000000000000000000, vector: 0.33930643483686418000  0.20873568627128264000  0.33807313805924510000  0.24199254296534647000-35.78491888922535200000 , tt: 6.5708
9: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 7.2448
10: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 8.0841
11: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 9.1217
12: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 9.9814
13: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 10.9728
14: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 11.8071
15: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 12.3924
16: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 13.2558
17: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 14.1298
18: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 14.9928
19: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 16.0679
20: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 16.9262
21: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 17.7067
22: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 18.4658
23: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 19.4073
24: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 20.5161
25: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 21.6048
26: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 22.5814
27: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 23.3821
28: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 24.1614
29: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 24.9366
30: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 26.0093
31: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 26.8918
32: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 27.7669
33: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 28.7161
34: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 29.7483
35: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 30.6956
36: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 31.7292
37: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 32.8056
38: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 33.748
39: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 34.6309
40: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 35.6228
41: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 36.5869
42: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 37.6031
43: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 38.3644
44: Viorest: 7.5665e-05, aptitud: 0.00000000000000000000, vector: 0.42588416462642426000  0.12971458745726339000  0.42580849970019452000  0.27652054768687584000-39.86951162109389200000 , tt: 39.2139
45: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 40.1381
46: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 41.1689
47: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 42.404
48: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 43.4153
49: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 44.1251
50: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 45.1519
51: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 46.0686
52: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 47.2025
53: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 48.428
54: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 49.3568
55: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 50.234
56: Viorest: 6.7799e-05, aptitud: 0.00000000000000000000, vector: 0.42022813944758375000 0.26343659832185051000 0.49545825604661520000 0.33859891586754715000-4.27000132388967300000 , tt: 51.0884
57: Viorest: 3.1136e-06, aptitud: 0.00000000000000000000, vector: 0.45344660891502353000 0.09911675877686440500 0.45344349530724570000 0.3177574149383704500014.98687673069492200000 , tt: 52.1446
58: Viorest: 3.1136e-06, aptitud: 0.00000000000000000000, vector: 0.45344660891502353000 0.09911675877686440500 0.45344349530724570000 0.3177574149383704500014.98687673069492200000 , tt: 53.1189
59: Viorest: 3.1136e-06, aptitud: 0.00000000000000000000, vector: 0.45344660891502353000 0.09911675877686440500 0.45344349530724570000 0.3177574149383704500014.98687673069492200000 , tt: 54.2874
60: Viorest: 3.1136e-06, aptitud: 0.00000000000000000000, vector: 0.45344660891502353000 0.09911675877686440500 0.45344349530724570000 0.3177574149383704500014.98687673069492200000 , tt: 55.2178
61: Viorest: 3.1136e-06, aptitud: 0.00000000000000000000, vector: 0.45344660891502353000 0.09911675877686440500 0.45344349530724570000 0.3177574149383704500014.98687673069492200000 , tt: 56.0022
62: Viorest: 3.1136e-06, aptitud: 0.00000000000000000000, vector: 0.45344660891502353000 0.09911675877686440500 0.45344349530724570000 0.3177574149383704500014.98687673069492200000 , tt: 56.9507
63: Viorest: 3.1136e-06, aptitud: 0.00000000000000000000, vector: 0.45344660891502353000 0.09911675877686440500 0.45344349530724570000 0.3177574149383704500014.98687673069492200000 , tt: 57.8592
64: Viorest: 3.1136e-06, aptitud: 0.00000000000000000000, vector: 0.45344660891502353000 0.09911675877686440500 0.45344349530724570000 0.3177574149383704500014.98687673069492200000 , tt: 59.0671
