main(40, .6, .5)
1: Viorest: 0.076201, aptitud: 0.00000000000000000000, vector: 0.20320650367494755000 0.07082212972592144600 0.12700590427200897000 0.0880286570238520690036.24581273819130400000
2: Viorest: 0.0094046, aptitud: 0.00000000000000000000, vector: 0.14441740564873620000 0.13521148161221708000 0.36490667818699740000 0.3743112468900053900024.98849607431637300000
3: Viorest: 0.00045172, aptitud: 0.00000000000000000000, vector: 0.13800817142558411000  0.08430632464627380000  0.37204238122407118000  0.31788881751145892000-32.59331434947529300000
4: Viorest: 0.00045172, aptitud: 0.00000000000000000000, vector: 0.13800817142558411000  0.08430632464627380000  0.37204238122407118000  0.31788881751145892000-32.59331434947529300000
5: Viorest: 0.00045172, aptitud: 0.00000000000000000000, vector: 0.13800817142558411000  0.08430632464627380000  0.37204238122407118000  0.31788881751145892000-32.59331434947529300000
6: Viorest: 0.00045172, aptitud: 0.00000000000000000000, vector: 0.13800817142558411000  0.08430632464627380000  0.37204238122407118000  0.31788881751145892000-32.59331434947529300000
7: Viorest: 0.00045172, aptitud: 0.00000000000000000000, vector: 0.13800817142558411000  0.08430632464627380000  0.37204238122407118000  0.31788881751145892000-32.59331434947529300000
8: Viorest: 0.00045172, aptitud: 0.00000000000000000000, vector: 0.13800817142558411000  0.08430632464627380000  0.37204238122407118000  0.31788881751145892000-32.59331434947529300000
9: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
10: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
11: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
12: Viorest: 0.00016447, aptitud: 0.00000000000000000000, vector: 0.34571860452678621000 0.22881128246746582000 0.44109555635611231000 0.3240237689666950500020.37176289341732300000
