main(40, .6, .5)
1: Viorest: 0.0078071, aptitud: 0.00000000000000000000, vector: 0.40513392921276759000  0.22231651265135224000  0.42498842521546865000  0.23436389546168065000-26.02196229102585800000 , tt: 0.68816
2: Viorest: 0.0078071, aptitud: 0.00000000000000000000, vector: 0.40513392921276759000  0.22231651265135224000  0.42498842521546865000  0.23436389546168065000-26.02196229102585800000 , tt: 1.1914
3: Viorest: 0.0070403, aptitud: 0.00000000000000000000, vector: 0.43794042197817329000 0.10977452783683112000 0.43090011404629758000 0.3063463883147472500013.82592440583035700000 , tt: 1.7832
4: Viorest: 0.0023634, aptitud: 0.00000000000000000000, vector: 0.265777803390711890000.180373678948549940000.430900114046297580000.343132564656064450001.79355726195026580000 , tt: 2.4546
5: Viorest: 0.0023634, aptitud: 0.00000000000000000000, vector: 0.265777803390711890000.180373678948549940000.430900114046297580000.343132564656064450001.79355726195026580000 , tt: 3.2068
6: Viorest: 0.0023634, aptitud: 0.00000000000000000000, vector: 0.265777803390711890000.180373678948549940000.430900114046297580000.343132564656064450001.79355726195026580000 , tt: 3.8393
7: Viorest: 0.0023634, aptitud: 0.00000000000000000000, vector: 0.265777803390711890000.180373678948549940000.430900114046297580000.343132564656064450001.79355726195026580000 , tt: 4.5108
8: Viorest: 0.0023634, aptitud: 0.00000000000000000000, vector: 0.265777803390711890000.180373678948549940000.430900114046297580000.343132564656064450001.79355726195026580000 , tt: 5.2044
9: Viorest: 0.0023634, aptitud: 0.00000000000000000000, vector: 0.265777803390711890000.180373678948549940000.430900114046297580000.343132564656064450001.79355726195026580000 , tt: 5.7692
10: Viorest: 0.0023634, aptitud: 0.00000000000000000000, vector: 0.265777803390711890000.180373678948549940000.430900114046297580000.343132564656064450001.79355726195026580000 , tt: 6.4864
11: Viorest: 0.0023634, aptitud: 0.00000000000000000000, vector: 0.265777803390711890000.180373678948549940000.430900114046297580000.343132564656064450001.79355726195026580000 , tt: 7.0444
12: Viorest: 0.00055408, aptitud: 0.00000000000000000000, vector: 0.27374347528501242000 0.08396102978355236800 0.41945821353140966000 0.4200122910376014000027.24384301456930800000 , tt: 7.7439
13: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 8.3536
14: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 8.9034
15: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 9.6239
16: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 10.3539
17: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 11.1251
18: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 11.9082
19: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 12.6457
20: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 13.4787
21: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 14.104
22: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 14.7331
23: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 15.4989
24: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 16.3245
25: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 16.9761
26: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 17.6245
27: Viorest: 0.00030408, aptitud: 0.00000000000000000000, vector: 0.42082017055230592000  0.24564208664268938000  0.42051608959083187000  0.34073160851171069000-30.95757261420414300000 , tt: 18.3624
