
main(40, .6, .5)
1: Viorest: 0.0048719, aptitud: 0.00000000000000000000, vector: 0.14900011190596160000  0.11536458147345452000  0.35000275376039297000  0.35487465555989961000-24.84300610576090000000
2: Viorest: 0.0048719, aptitud: 0.00000000000000000000, vector: 0.14900011190596160000  0.11536458147345452000  0.35000275376039297000  0.35487465555989961000-24.84300610576090000000
3: Viorest: 0.0048719, aptitud: 0.00000000000000000000, vector: 0.14900011190596160000  0.11536458147345452000  0.35000275376039297000  0.35487465555989961000-24.84300610576090000000
4: Viorest: 0.0039286, aptitud: 0.00000000000000000000, vector: 0.38553332432523224000 0.21982051644276737000 0.43958252550434485000 0.26994113915666473000-7.64984882800045090000
5: Viorest: 0.00035874, aptitud: 0.00000000000000000000, vector: 0.22976266015533520000 0.19497807898502717000 0.29823976239446043000 0.2630964454468249200042.50438958500207300000
6: Viorest: 0.00035874, aptitud: 0.00000000000000000000, vector: 0.22976266015533520000 0.19497807898502717000 0.29823976239446043000 0.2630964454468249200042.50438958500207300000
7: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
8: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
9: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
10: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
11: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
12: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
13: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
14: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
15: Viorest: 0.00028292, aptitud: 0.00000000000000000000, vector: 0.40578997555860474000  0.17445812300695412000  0.40550705466431536000  0.21231128129558155000-28.03650264318839200000
16: Viorest: 0.00021649, aptitud: 0.00000000000000000000, vector: 0.32770615227631172000 0.21982051644276737000 0.32748966380059430000 0.2699411391566647300024.74489590652593300000
17: Viorest: 0.00021649, aptitud: 0.00000000000000000000, vector: 0.32770615227631172000 0.21982051644276737000 0.32748966380059430000 0.2699411391566647300024.74489590652593300000
18: Viorest: 0.00021649, aptitud: 0.00000000000000000000, vector: 0.32770615227631172000 0.21982051644276737000 0.32748966380059430000 0.2699411391566647300024.74489590652593300000
19: Viorest: 0.00020628, aptitud: 0.00000000000000000000, vector: 0.445235117866495220000.132146749384278090000.445028838144066570000.354874655559899610008.94968008702375070000
