main(40, .6, .5)
1: Viorest: 0.0069449, aptitud: 0.00000000000000000000, vector: 0.25027043814452532000 0.16952702909526784000 0.27918817880836561000 0.1914998330159226000016.90784272513964100000 , tt: 0.72316
2: Viorest: 0.0069449, aptitud: 0.00000000000000000000, vector: 0.25027043814452532000 0.16952702909526784000 0.27918817880836561000 0.1914998330159226000016.90784272513964100000 , tt: 1.1236
3: Viorest: 0.0069449, aptitud: 0.00000000000000000000, vector: 0.25027043814452532000 0.16952702909526784000 0.27918817880836561000 0.1914998330159226000016.90784272513964100000 , tt: 1.4844
4: Viorest: 0.0038225, aptitud: 0.00000000000000000000, vector: 0.16992939563950599000 0.07148350730918261200 0.16610687883002601000 0.0714494525189104810028.42095210787366000000 , tt: 1.9426
5: Viorest: 0.0011808, aptitud: 0.00000000000000000000, vector: 0.25027043814452532000 0.16952702909526784000 0.27918817880836561000 0.1972639788519794900016.90784272513964100000 , tt: 2.4373
6: Viorest: 0.0011808, aptitud: 0.00000000000000000000, vector: 0.25027043814452532000 0.16952702909526784000 0.27918817880836561000 0.1972639788519794900016.90784272513964100000 , tt: 2.9137
7: Viorest: 0.0011808, aptitud: 0.00000000000000000000, vector: 0.25027043814452532000 0.16952702909526784000 0.27918817880836561000 0.1972639788519794900016.90784272513964100000 , tt: 3.2905
8: Viorest: 0.0011808, aptitud: 0.00000000000000000000, vector: 0.25027043814452532000 0.16952702909526784000 0.27918817880836561000 0.1972639788519794900016.90784272513964100000 , tt: 3.6748
9: Viorest: 0.0006837, aptitud: 0.00000000000000000000, vector: 0.36231230328008968000  0.07124692804703065800  0.36162860171881500000  0.24027877004748210000-24.13248672253561700000 , tt: 4.1542
10: Viorest: 0.0006837, aptitud: 0.00000000000000000000, vector: 0.36231230328008968000  0.07124692804703065800  0.36162860171881500000  0.24027877004748210000-24.13248672253561700000 , tt: 4.6748
11: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 5.2588
12: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 5.7398
13: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 6.3454
14: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 6.8308
15: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 7.2904
16: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 7.8061
17: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 8.1988
18: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 8.8344
19: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 9.4371
20: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 9.9576
21: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 10.7201
22: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 11.2208
23: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 11.697
24: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 12.3253
25: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 13.03
26: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 13.9027
27: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 14.6234
28: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 15.2345
29: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 15.9362
30: Viorest: 3.715e-06, aptitud: 0.00000000000000000000, vector: 0.40367652907241353000  0.16654748293030638000  0.40367281411835454000  0.23360462053059106000-20.27364524280503500000 , tt: 16.6108
