1: Viorest: 0.0046207, aptitud: 0.00000000000000000000, vector: 0.40599911545217937000  0.28969706436737797000  0.40137843356755637000  0.30498922621997876000-44.10383017049755200000 , tt: 0.69016
2: Viorest: 0.0046207, aptitud: 0.00000000000000000000, vector: 0.40599911545217937000  0.28969706436737797000  0.40137843356755637000  0.30498922621997876000-44.10383017049755200000 , tt: 1.1207
3: Viorest: 0.0027835, aptitud: 0.00000000000000000000, vector: 0.07943028544344615800 0.06126586137445988500 0.16603668602358196000 0.14508875816173025000-5.57730723385771300000 , tt: 1.5988
4: Viorest: 0.0027835, aptitud: 0.00000000000000000000, vector: 0.07943028544344615800 0.06126586137445988500 0.16603668602358196000 0.14508875816173025000-5.57730723385771300000 , tt: 2.1661
5: Viorest: 0.0027835, aptitud: 0.00000000000000000000, vector: 0.07943028544344615800 0.06126586137445988500 0.16603668602358196000 0.14508875816173025000-5.57730723385771300000 , tt: 2.832
6: Viorest: 0.0027835, aptitud: 0.00000000000000000000, vector: 0.07943028544344615800 0.06126586137445988500 0.16603668602358196000 0.14508875816173025000-5.57730723385771300000 , tt: 3.4521
7: Viorest: 0.0027835, aptitud: 0.00000000000000000000, vector: 0.07943028544344615800 0.06126586137445988500 0.16603668602358196000 0.14508875816173025000-5.57730723385771300000 , tt: 3.9825
8: Viorest: 0.001894, aptitud: 0.00000000000000000000, vector: 0.25094479788640450000  0.09155894604188956300  0.44117654486061519000  0.27989667423606340000-22.23641045389666700000 , tt: 4.5266
9: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 5.068
10: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 5.6572
11: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 6.2099
12: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 6.7068
13: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 7.2533
14: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 7.8506
15: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 8.4747
16: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 9.1623
17: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 9.6062
18: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 10.2628
19: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 10.9282
20: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 11.5251
21: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 12.1458
22: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 12.6777
23: Viorest: 0.00020594, aptitud: 0.00000000000000000000, vector: 0.23277074522005725000  0.10691389795244924000  0.37280737170033840000  0.37301330912501968000-38.16691015820259000000 , tt: 13.2312
