1: Viorest: 0.0042689, aptitud: 0.00000000000000000000, vector: 0.38807017668754379000 0.19190535976623146000 0.38380124890692408000 0.3645845251955087100019.81115632925089900000 , tt: 1.4695
2: Viorest: 0.0042689, aptitud: 0.00000000000000000000, vector: 0.38807017668754379000 0.19190535976623146000 0.38380124890692408000 0.3645845251955087100019.81115632925089900000 , tt: 2.2295
3: Viorest: 0.0036948, aptitud: 0.00000000000000000000, vector: 0.27016368728000850000  0.11356937932427180000  0.42546491685387855000  0.26517579009333903000-27.68326556601898100000 , tt: 3.0297
4: Viorest: 0.0036948, aptitud: 0.00000000000000000000, vector: 0.27016368728000850000  0.11356937932427180000  0.42546491685387855000  0.26517579009333903000-27.68326556601898100000 , tt: 3.7699
5: Viorest: 0.003141, aptitud: 0.00000000000000000000, vector: 0.40283409276708748000 0.10922807239364683000 0.46545830748307021000 0.1687113124348955700023.88595123376511300000 , tt: 4.5235
6: Viorest: 0.003141, aptitud: 0.00000000000000000000, vector: 0.40283409276708748000 0.10922807239364683000 0.46545830748307021000 0.1687113124348955700023.88595123376511300000 , tt: 5.4243
7: Viorest: 0.0010439, aptitud: 0.00000000000000000000, vector: 0.47980408367977689000 0.18442041919569158000 0.47876013602031331000 0.2454335441630211000027.02524219999201100000 , tt: 6.3181
8: Viorest: 0.0010439, aptitud: 0.00000000000000000000, vector: 0.47980408367977689000 0.18442041919569158000 0.47876013602031331000 0.2454335441630211000027.02524219999201100000 , tt: 7.1646
9: Viorest: 0.00084496, aptitud: 0.00000000000000000000, vector: 0.32670711514949902000  0.16125473960941211000  0.46545830748307021000  0.29916097404831177000-18.06026824615471000000 , tt: 7.9563
10: Viorest: 0.00084496, aptitud: 0.00000000000000000000, vector: 0.32670711514949902000  0.16125473960941211000  0.46545830748307021000  0.29916097404831177000-18.06026824615471000000 , tt: 8.5723
11: Viorest: 0.00084496, aptitud: 0.00000000000000000000, vector: 0.32670711514949902000  0.16125473960941211000  0.46545830748307021000  0.29916097404831177000-18.06026824615471000000 , tt: 9.3059
12: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 10.1979
13: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 11.0626
14: Viorest: 2.2343e-05, aptitud: 0.00000000000000000000, vector: 0.36868420005412106000 0.15784026854603506000 0.41183616444781779000 0.20096988964918572000-2.40400359875436640000 , tt: 11.9154
