1: Viorest: 0.0075461, aptitud: 0.00000000000000000000, vector: 0.38807017668754379000 0.19365083425477747000 0.38052407210620526000 0.3645845251955087100030.21540509381255600000 , tt: 1.3773
2: Viorest: 0.0075461, aptitud: 0.00000000000000000000, vector: 0.38807017668754379000 0.19365083425477747000 0.38052407210620526000 0.3645845251955087100030.21540509381255600000 , tt: 1.9073
3: Viorest: 0.0075461, aptitud: 0.00000000000000000000, vector: 0.38807017668754379000 0.19365083425477747000 0.38052407210620526000 0.3645845251955087100030.21540509381255600000 , tt: 2.4003
4: Viorest: 0.0075461, aptitud: 0.00000000000000000000, vector: 0.38807017668754379000 0.19365083425477747000 0.38052407210620526000 0.3645845251955087100030.21540509381255600000 , tt: 2.9188
5: Viorest: 0.0075461, aptitud: 0.00000000000000000000, vector: 0.38807017668754379000 0.19365083425477747000 0.38052407210620526000 0.3645845251955087100030.21540509381255600000 , tt: 3.3613
6: Viorest: 0.0075461, aptitud: 0.00000000000000000000, vector: 0.38807017668754379000 0.19365083425477747000 0.38052407210620526000 0.3645845251955087100030.21540509381255600000 , tt: 3.9677
7: Viorest: 0.00057566, aptitud: 0.00000000000000000000, vector: 0.40688468874179484000 0.06432478086983931000 0.46249317144556668000 0.46306883482320205000-5.16634700519259130000 , tt: 4.6678
8: Viorest: 0.00057566, aptitud: 0.00000000000000000000, vector: 0.40688468874179484000 0.06432478086983931000 0.46249317144556668000 0.46306883482320205000-5.16634700519259130000 , tt: 5.3536
9: Viorest: 0.00057566, aptitud: 0.00000000000000000000, vector: 0.40688468874179484000 0.06432478086983931000 0.46249317144556668000 0.46306883482320205000-5.16634700519259130000 , tt: 6.1318
10: Viorest: 0.00057566, aptitud: 0.00000000000000000000, vector: 0.40688468874179484000 0.06432478086983931000 0.46249317144556668000 0.46306883482320205000-5.16634700519259130000 , tt: 6.8776
11: Viorest: 0.00057566, aptitud: 0.00000000000000000000, vector: 0.40688468874179484000 0.06432478086983931000 0.46249317144556668000 0.46306883482320205000-5.16634700519259130000 , tt: 7.4629
12: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 8.2199
13: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 8.9113
14: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 9.5523
15: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 10.0627
16: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 10.7706
17: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 11.4051
18: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 12.1119
19: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 12.9565
20: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 13.5616
21: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 14.1925
22: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 14.8372
23: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 15.5219
24: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 16.0964
25: Viorest: 0.00020034, aptitud: 0.00000000000000000000, vector: 0.32960265597303495000 0.12906472249788370000 0.45459963742738307000 0.4547999821126411700023.06874993518698600000 , tt: 17.1055
26: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 17.7997
27: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 18.4207
28: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 19.1572
29: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 19.79
30: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 20.356
31: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 21.0464
32: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 21.8492
33: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 22.5831
34: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 23.3241
35: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 24.2245
36: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 24.9623
37: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 25.8382
38: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 26.6414
39: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 27.3189
40: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 28.1847
41: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 28.8735
42: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 29.8866
43: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 30.8536
44: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 31.5885
45: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 32.2063
46: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 32.9874
47: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 33.7365
48: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 34.7651
49: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 35.495
50: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 36.1304
51: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 36.8321
52: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 37.687
53: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 38.5278
54: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 39.2751
55: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 39.8828
56: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 40.4615
57: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 41.1906
58: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 41.9296
59: Viorest: 0.00011552, aptitud: 0.00000000000000000000, vector: 0.37397085290160237000 0.06578729375305209000 0.47935187077820274000 0.4794673928617890800026.75076235814148600000 , tt: 42.7349
