1: Viorest: 0.0052433, aptitud: 0.00000000000000000000, vector: 0.062252752063549383000.067496011644313930000.286997809754093280000.288841330869290480007.46644837029639150000 , tt: 2.064
2: Viorest: 0.0052433, aptitud: 0.00000000000000000000, vector: 0.062252752063549383000.067496011644313930000.286997809754093280000.288841330869290480007.46644837029639150000 , tt: 2.6876
3: Viorest: 0.0051202, aptitud: 0.00000000000000000000, vector: 0.49779765297365985000 0.07695611488824738400 0.49267746751903463000 0.13860097871540134000-0.45033906046694927000 , tt: 3.2423
4: Viorest: 0.0051202, aptitud: 0.00000000000000000000, vector: 0.49779765297365985000 0.07695611488824738400 0.49267746751903463000 0.13860097871540134000-0.45033906046694927000 , tt: 4.0839
5: Viorest: 0.0051202, aptitud: 0.00000000000000000000, vector: 0.49779765297365985000 0.07695611488824738400 0.49267746751903463000 0.13860097871540134000-0.45033906046694927000 , tt: 4.6645
6: Viorest: 0.0041586, aptitud: 0.00000000000000000000, vector: 0.150791538290431430000.072873125971370412000.241339720138019020000.159262688837897350000.27131018758465464000 , tt: 5.3267
7: Viorest: 0.0022936, aptitud: 0.00000000000000000000, vector: 0.17010839923830678000  0.06973612373533813500  0.16781480127868012000  0.13142714137812594000-18.57735080259804800000 , tt: 5.8937
8: Viorest: 0.00069998, aptitud: 0.00000000000000000000, vector: 0.47347443730189753000  0.17174451827991782000  0.47277445724401101000  0.33352958338271477000-42.48797628722642400000 , tt: 6.8714
9: Viorest: 0.00069998, aptitud: 0.00000000000000000000, vector: 0.47347443730189753000  0.17174451827991782000  0.47277445724401101000  0.33352958338271477000-42.48797628722642400000 , tt: 7.5102
10: Viorest: 0.00069998, aptitud: 0.00000000000000000000, vector: 0.47347443730189753000  0.17174451827991782000  0.47277445724401101000  0.33352958338271477000-42.48797628722642400000 , tt: 8.059
11: Viorest: 0.00069998, aptitud: 0.00000000000000000000, vector: 0.47347443730189753000  0.17174451827991782000  0.47277445724401101000  0.33352958338271477000-42.48797628722642400000 , tt: 8.7607
12: Viorest: 0.0002998, aptitud: 0.00000000000000000000, vector: 0.27010364806987536000  0.08591154541489015600  0.38630769874021681000  0.20181579390025078000-21.61243194889959800000 , tt: 9.5425
13: Viorest: 0.0002998, aptitud: 0.00000000000000000000, vector: 0.27010364806987536000  0.08591154541489015600  0.38630769874021681000  0.20181579390025078000-21.61243194889959800000 , tt: 10.2345
14: Viorest: 0.0002998, aptitud: 0.00000000000000000000, vector: 0.27010364806987536000  0.08591154541489015600  0.38630769874021681000  0.20181579390025078000-21.61243194889959800000 , tt: 11.2139
15: Viorest: 0.0002998, aptitud: 0.00000000000000000000, vector: 0.27010364806987536000  0.08591154541489015600  0.38630769874021681000  0.20181579390025078000-21.61243194889959800000 , tt: 12.0531
16: Viorest: 0.0002998, aptitud: 0.00000000000000000000, vector: 0.27010364806987536000  0.08591154541489015600  0.38630769874021681000  0.20181579390025078000-21.61243194889959800000 , tt: 12.735
17: Viorest: 0.0002998, aptitud: 0.00000000000000000000, vector: 0.27010364806987536000  0.08591154541489015600  0.38630769874021681000  0.20181579390025078000-21.61243194889959800000 , tt: 13.5385
18: Viorest: 0.00023065, aptitud: 0.00000000000000000000, vector: 0.40063496673296983000 0.07946318898015529400 0.40040431228397322000 0.1628659918879409000034.45357973520334800000 , tt: 14.2124
19: Viorest: 0.00023065, aptitud: 0.00000000000000000000, vector: 0.40063496673296983000 0.07946318898015529400 0.40040431228397322000 0.1628659918879409000034.45357973520334800000 , tt: 14.795
20: Viorest: 0.00023065, aptitud: 0.00000000000000000000, vector: 0.40063496673296983000 0.07946318898015529400 0.40040431228397322000 0.1628659918879409000034.45357973520334800000 , tt: 15.8488
21: Viorest: 0.00023065, aptitud: 0.00000000000000000000, vector: 0.40063496673296983000 0.07946318898015529400 0.40040431228397322000 0.1628659918879409000034.45357973520334800000 , tt: 16.7377
22: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 17.4121
23: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 17.9648
24: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 18.607
25: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 19.5869
26: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 20.4455
27: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 21.4272
28: Viorest: 9.7618e-05, aptitud: 0.00000000000000000000, vector: 0.450647217262857950000.166933024075667510000.450549599690970690000.310120240787971680006.84557161887024530000 , tt: 22.3804
