1: Viorest: 0.0053533, aptitud: 0.00000000000000000000, vector: 0.36014508542307644000 0.30418513743081887000 0.47341866858817622000 0.41210542234721470000-6.23530717055740880000 , tt: 1.0594
2: Viorest: 0.0053533, aptitud: 0.00000000000000000000, vector: 0.36014508542307644000 0.30418513743081887000 0.47341866858817622000 0.41210542234721470000-6.23530717055740880000 , tt: 1.7496
3: Viorest: 0.005297, aptitud: 0.00000000000000000000, vector: 0.35458447404852877000 0.14963917903882745000 0.47406429757266899000 0.2638220286227848100037.43621365994758300000 , tt: 2.4679
4: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 3.1779
5: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 3.8738
6: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 4.7253
7: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 5.4589
8: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 6.2218
9: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 6.9482
10: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 7.6958
11: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 8.3221
12: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 9.0349
13: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 9.7048
14: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 10.549
15: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 11.376
16: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 12.1169
17: Viorest: 0.00077908, aptitud: 0.00000000000000000000, vector: 0.22515029357228727000  0.21514820528960651000  0.36026006239754504000  0.36103914421429995000-27.05513713209557400000 , tt: 13.0091
18: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 13.885
19: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 14.9638
20: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 15.6814
21: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 16.6338
22: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 17.4839
23: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 18.394
24: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 19.2665
25: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 20.2916
26: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 21.0896
27: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 22.046
28: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 23.1374
29: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 24.0025
30: Viorest: 0.00047089, aptitud: 0.00000000000000000000, vector: 0.43947327503439509000 0.15640225568898855000 0.49799442279209194000 0.4984653140895651300041.60189906147439100000 , tt: 24.796
31: Viorest: 0.00025637, aptitud: 0.00000000000000000000, vector: 0.43957632921347134000 0.13036714236329711000 0.43931996417696229000 0.1571004299514403000035.92514156323861100000 , tt: 25.6009
32: Viorest: 0.00025637, aptitud: 0.00000000000000000000, vector: 0.43957632921347134000 0.13036714236329711000 0.43931996417696229000 0.1571004299514403000035.92514156323861100000 , tt: 26.4856
33: Viorest: 0.00025637, aptitud: 0.00000000000000000000, vector: 0.43957632921347134000 0.13036714236329711000 0.43931996417696229000 0.1571004299514403000035.92514156323861100000 , tt: 27.1668
34: Viorest: 0.00025637, aptitud: 0.00000000000000000000, vector: 0.43957632921347134000 0.13036714236329711000 0.43931996417696229000 0.1571004299514403000035.92514156323861100000 , tt: 27.9238
35: Viorest: 0.00025637, aptitud: 0.00000000000000000000, vector: 0.43957632921347134000 0.13036714236329711000 0.43931996417696229000 0.1571004299514403000035.92514156323861100000 , tt: 28.6604
36: Viorest: 0.00025637, aptitud: 0.00000000000000000000, vector: 0.43957632921347134000 0.13036714236329711000 0.43931996417696229000 0.1571004299514403000035.92514156323861100000 , tt: 29.4442
37: Viorest: 0.00025637, aptitud: 0.00000000000000000000, vector: 0.43957632921347134000 0.13036714236329711000 0.43931996417696229000 0.1571004299514403000035.92514156323861100000 , tt: 30.3321
