1: Viorest: 0.0099148, aptitud: 0.00000000000000000000, vector: 0.12200369095271396000  0.11320820734266648000  0.42487610112162705000  0.43479090085942296000-27.37425942319892200000 , tt: 1.0562
2: Viorest: 0.0099148, aptitud: 0.00000000000000000000, vector: 0.12200369095271396000  0.11320820734266648000  0.42487610112162705000  0.43479090085942296000-27.37425942319892200000 , tt: 1.7372
3: Viorest: 0.0099148, aptitud: 0.00000000000000000000, vector: 0.12200369095271396000  0.11320820734266648000  0.42487610112162705000  0.43479090085942296000-27.37425942319892200000 , tt: 2.5609
4: Viorest: 0.0028935, aptitud: 0.00000000000000000000, vector: 0.22153718312656229000 0.10944553690968094000 0.44689058959639616000 0.4497840417315748200016.12817889034031200000 , tt: 3.2578
5: Viorest: 0.00092248, aptitud: 0.00000000000000000000, vector: 0.44153281013249690000  0.12956958559903792000  0.44061032802643585000  0.19153171951783327000-23.21657994744386100000 , tt: 4.1031
6: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 4.7845
7: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 5.5292
8: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 6.2801
9: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 7.1647
10: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 7.9359
11: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 8.6415
12: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 9.499
13: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 10.2646
14: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 11.0922
15: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 11.8124
16: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 12.5998
17: Viorest: 0.00050965, aptitud: 0.00000000000000000000, vector: 0.08543168538958256800 0.06433404846349008400 0.43614265446803790000 0.4145353681089286600011.52148446582049200000 , tt: 13.3214
18: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 14.2321
19: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 15.0011
20: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 15.8327
21: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 16.8867
22: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 17.7639
23: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 18.6669
24: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 19.8099
25: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 20.6873
26: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 21.4612
27: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 22.1437
28: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 23.2591
29: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 24.3311
30: Viorest: 0.00045678, aptitud: 0.00000000000000000000, vector: 0.14642646304102766000  0.07472088533623269500  0.35546048222445470000  0.28329812712098873000-11.58957002467866800000 , tt: 25.0116
31: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 25.8837
32: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 26.7505
33: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 27.5151
34: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 28.2602
35: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 29.1421
36: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 29.9914
37: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 30.831
38: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 31.5799
39: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 32.3796
40: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 33.3089
41: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 34.122
42: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 35.0653
43: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 35.8361
44: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 36.6817
45: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 37.398
46: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 38.1967
47: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 39.1592
48: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 39.9792
49: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 40.7461
50: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 41.576
51: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 42.4428
52: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 43.597
53: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 44.5669
54: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 45.6145
55: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 46.7019
56: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 48.1381
57: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 49.0424
58: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 49.754
59: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 50.5311
60: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 51.4192
61: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 52.3775
62: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 53.5008
63: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 54.3203
64: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 55.0913
65: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 55.8998
66: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 56.8365
67: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 57.6806
68: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 58.5354
69: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 59.548
70: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 60.6942
71: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 61.7438
72: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 62.7208
73: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 63.7908
74: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 64.8793
75: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 65.9061
76: Viorest: 0.00013416, aptitud: 0.00000000000000000000, vector: 0.29113804563510770000 0.13983625304397221000 0.29100388437696084000 0.1543076863044241500038.44908628497574900000 , tt: 67.0499
